"file","n","mean_sec","median_sec","sd_sec","q05_sec","q25_sec","q75_sec","q95_sec","parent_dir","model","POP","R0","NetworkDir","NetworkSize","NetworkLabel"
"../R0_sensitivity_analysis/Network_100_Node/seatird-stochastic_POP-1M_R0-1.9/simulation_times.csv",90,951.192554745637,942.751402667724,48.0738963545431,898.615520024858,921.983714331873,968.123578447383,1041.32798335832,"seatird-stochastic_POP-1M_R0-1.9","seatird-stochastic","1M",1.9,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seatird-stochastic_POP-1M_R0-2.1/simulation_times.csv",94,915.293339218964,906.697788913734,45.3941111985518,854.090676664095,885.584768546745,949.159431262873,994.844854785874,"seatird-stochastic_POP-1M_R0-2.1","seatird-stochastic","1M",2.1,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seatird-stochastic_POP-1M_R0-2.3/simulation_times.csv",95,908.5392087049,899.666520424187,42.1924879710838,849.393713752925,881.287672237493,934.049352915026,996.035885933787,"seatird-stochastic_POP-1M_R0-2.3","seatird-stochastic","1M",2.3,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seatird-stochastic_POP-1M_R0-2.5/simulation_times.csv",96,893.149574499286,885.698943583295,37.9444500905578,845.674131644424,867.104314386379,912.332565848716,957.207688672468,"seatird-stochastic_POP-1M_R0-2.5","seatird-stochastic","1M",2.5,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seatird-stochastic_POP-1M_R0-2.7/simulation_times.csv",96,890.709567319835,885.988700333051,34.0232299141915,847.927352953702,865.027607101481,910.493867249228,957.09606209537,"seatird-stochastic_POP-1M_R0-2.7","seatird-stochastic","1M",2.7,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seatird-stochastic_POP-1M_R0-2.9/simulation_times.csv",94,913.773629005503,903.138517854735,46.0330776550129,862.751755282842,879.375547361095,935.871054725721,993.656832008995,"seatird-stochastic_POP-1M_R0-2.9","seatird-stochastic","1M",2.9,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seatird-stochastic_POP-1M_R0-3.1/simulation_times.csv",96,897.703063268602,891.470304031856,45.2346805726196,846.519594206009,866.742930342443,913.13461104827,978.273845156189,"seatird-stochastic_POP-1M_R0-3.1","seatird-stochastic","1M",3.1,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seatird-stochastic_POP-1M_R0-3.3/simulation_times.csv",95,907.468154455427,898.547900008038,48.2177887699591,851.861629597098,877.046444695443,927.064046915621,1000.26286615133,"seatird-stochastic_POP-1M_R0-3.3","seatird-stochastic","1M",3.3,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seatird-stochastic_POP-1M_R0-3.5/simulation_times.csv",95,904.980873106008,896.947577768937,40.8315447815931,854.499804438278,875.921639979817,926.184394369833,976.656217961386,"seatird-stochastic_POP-1M_R0-3.5","seatird-stochastic","1M",3.5,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seatird-stochastic_POP-1M_R0-3.7/simulation_times.csv",95,908.548397990159,898.002875421196,39.0617694717646,857.646621649154,879.297630267218,932.867799916305,978.319095644169,"seatird-stochastic_POP-1M_R0-3.7","seatird-stochastic","1M",3.7,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seatird-stochastic_POP-1M_R0-3.9/simulation_times.csv",94,911.033745625591,903.022595706396,46.9832825670246,862.87297886489,880.269543503877,929.753490136471,991.449338338896,"seatird-stochastic_POP-1M_R0-3.9","seatird-stochastic","1M",3.9,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seatird-stochastic_POP-1M_R0-4.1/simulation_times.csv",95,907.366359577132,901.650670453906,36.9329089280946,859.924925987795,878.161356152035,928.227677382529,972.263138298504,"seatird-stochastic_POP-1M_R0-4.1","seatird-stochastic","1M",4.1,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seir-deterministic_POP-1M_R0-0.5/simulation_times.csv",74,1156.22321354162,1144.40234289877,30.2618885910502,1127.82545072567,1134.8163011428,1173.3620123635,1217.22843306214,"seir-deterministic_POP-1M_R0-0.5","seir-deterministic","1M",0.5,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seir-deterministic_POP-1M_R0-0.7/simulation_times.csv",73,1176.10608701837,1166.03853489645,29.9807541345034,1146.21406228021,1153.02451251447,1192.58024716564,1230.87898817696,"seir-deterministic_POP-1M_R0-0.7","seir-deterministic","1M",0.7,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seir-deterministic_POP-1M_R0-0.9/simulation_times.csv",74,1158.40866754675,1147.78258992359,29.7348957160466,1128.79475911688,1134.81235236349,1175.32855234249,1220.94986566948,"seir-deterministic_POP-1M_R0-0.9","seir-deterministic","1M",0.9,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seir-deterministic_POP-1M_R0-1.1/simulation_times.csv",76,1123.31168850443,1120.14322976116,39.8094451767301,1068.02826251136,1089.66654782416,1143.34407039406,1207.0037911837,"seir-deterministic_POP-1M_R0-1.1","seir-deterministic","1M",1.1,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seir-deterministic_POP-1M_R0-1.3/simulation_times.csv",86,1000.41341320419,993.077320080251,41.8580803858208,951.528727091849,967.784370285459,1027.264631561,1092.19802065007,"seir-deterministic_POP-1M_R0-1.3","seir-deterministic","1M",1.3,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seir-deterministic_POP-1M_R0-1.5/simulation_times.csv",96,891.17609583472,882.910644801334,34.9526226337072,854.336181016639,864.754392783623,910.129218193702,961.710148430895,"seir-deterministic_POP-1M_R0-1.5","seir-deterministic","1M",1.5,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seir-deterministic_POP-1M_R0-1.7/simulation_times.csv",106,814.29860081174,803.056963325478,36.3813918374694,780.841913871467,790.281248092186,825.746693140361,891.60155042354,"seir-deterministic_POP-1M_R0-1.7","seir-deterministic","1M",1.7,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seir-deterministic_POP-1M_R0-1.9/simulation_times.csv",111,772.227115136546,761.684437576681,31.4239035092937,745.044296052307,751.272830584086,783.909743981436,845.838267781772,"seir-deterministic_POP-1M_R0-1.9","seir-deterministic","1M",1.9,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seir-deterministic_POP-1M_R0-2.1/simulation_times.csv",117,734.54531038266,727.912361346185,24.702018162592,706.343001846224,717.870035614818,743.446222048253,779.748754413053,"seir-deterministic_POP-1M_R0-2.1","seir-deterministic","1M",2.1,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seir-deterministic_POP-1M_R0-2.3/simulation_times.csv",124,696.153453861183,686.897139296867,27.1910892680828,673.676863620244,680.145931994077,701.533657731488,765.701011912431,"seir-deterministic_POP-1M_R0-2.3","seir-deterministic","1M",2.3,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seir-deterministic_POP-1M_R0-2.5/simulation_times.csv",126,683.893359033199,678.39144904539,22.603743056575,663.252549433149,669.903431578539,691.184355458245,726.120318870526,"seir-deterministic_POP-1M_R0-2.5","seir-deterministic","1M",2.5,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seir-deterministic_POP-1M_R0-2.7/simulation_times.csv",129,668.690583096355,662.738525519148,22.1887145956709,649.790708235279,653.766754388809,672.664718391374,706.69123089686,"seir-deterministic_POP-1M_R0-2.7","seir-deterministic","1M",2.7,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seir-deterministic_POP-1M_R0-2.9/simulation_times.csv",131,654.640450522744,647.99395054765,21.1125171230973,635.359045959078,639.921304109506,661.451778331771,699.034195655026,"seir-deterministic_POP-1M_R0-2.9","seir-deterministic","1M",2.9,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seir-deterministic_POP-1M_R0-3.1/simulation_times.csv",133,648.893964697572,641.189810397103,20.7981964027815,630.407489262149,635.168619764969,656.152078595012,687.428728938475,"seir-deterministic_POP-1M_R0-3.1","seir-deterministic","1M",3.1,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seir-deterministic_POP-1M_R0-3.3/simulation_times.csv",134,643.781511084246,636.664801659063,21.9429440130985,624.592152718455,630.441620184109,649.975555004086,685.781994709186,"seir-deterministic_POP-1M_R0-3.3","seir-deterministic","1M",3.3,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seir-deterministic_POP-1M_R0-3.5/simulation_times.csv",134,640.849373397542,634.544338939711,20.9472277955236,623.86812439831,627.203630350064,646.760523417965,679.637852721102,"seir-deterministic_POP-1M_R0-3.5","seir-deterministic","1M",3.5,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seir-deterministic_POP-1M_R0-3.7/simulation_times.csv",134,640.402233668923,632.366824317724,21.3609527415997,622.794711406063,627.495976609178,643.460411819164,681.725477934163,"seir-deterministic_POP-1M_R0-3.7","seir-deterministic","1M",3.7,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seir-deterministic_POP-1M_R0-3.9/simulation_times.csv",138,624.511868492255,617.221023264341,20.128445354634,606.786515292432,611.920002198312,630.298067038413,664.230979321897,"seir-deterministic_POP-1M_R0-3.9","seir-deterministic","1M",3.9,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seir-deterministic_POP-1M_R0-4.1/simulation_times.csv",139,620.427085447829,613.639405485243,20.1935839143797,601.171171724051,608.308157648891,626.313855659217,658.550020522438,"seir-deterministic_POP-1M_R0-4.1","seir-deterministic","1M",4.1,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seirs-deterministic_POP-1M_R0-0.5/simulation_times.csv",73,1176.64121551868,1166.75165079162,30.2891753555859,1145.86204005815,1152.51340264082,1187.53488411009,1238.75494014695,"seirs-deterministic_POP-1M_R0-0.5","seirs-deterministic","1M",0.5,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seirs-deterministic_POP-1M_R0-0.7/simulation_times.csv",73,1168.15078022331,1155.31388909183,31.8117979450323,1138.02862150259,1143.38360733353,1185.37000348791,1233.82403076068,"seirs-deterministic_POP-1M_R0-0.7","seirs-deterministic","1M",0.7,"Network_100_Node",100,"Nodes: 100"
"../R0_sensitivity_analysis/Network_100_Node/seirs-deterministic_POP-1M_R0-0.9/simulation_times.csv",74,1161.77441992364,1150.26421139576,32.0476181928188,1128.41691538673,1137.38220171956,1176.94297934975,1234.47214771146,"seirs-deterministic_POP-1M_R0-0.9","seirs-deterministic","1M",0.9,"Network_100_Node",100,"Nodes: 100"
