STATE_NAME,STATE_FIPS,age_group,frac_high_risk,frac_high_risk_low,frac_high_risk_upp,n_unw
Arizona,04,0-4,0.0546945490071761,0.0162893691313834,0.0930997288829687,262
Arizona,04,5-17,0.346780258818917,0.288253692690602,0.405306824947231,540
Arkansas,05,0-4,0.126456161034128,0.0646588450442515,0.188253477024004,276
Arkansas,05,5-17,0.411426023509388,0.357512184419595,0.46533986259918,576
California,06,0-4,0.0537641289309167,0.0345378719396136,0.0729903859222198,1047
California,06,5-17,0.332025885839744,0.309448799893802,0.354602971785686,3646
Colorado,08,0-4,0.0535217178782974,0.0262710385520283,0.0807723972045665,454
Colorado,08,5-17,0.300526879679406,0.257731720745565,0.343322038613247,994
Connecticut,09,0-4,0.0800769658686894,0.030231065653512,0.129922866083867,311
Connecticut,09,5-17,0.328001385710063,0.268758676470651,0.387244094949476,512
Delaware,10,0-4,0.0989317689255955,0.0306471520350479,0.167216385816143,272
Delaware,10,5-17,0.416847392994174,0.354095795894888,0.47959899009346,470
District of Columbia,11,0-4,0.0881103988118693,0.032436742803053,0.143784054820686,359
District of Columbia,11,5-17,0.38628512000686,0.31026516410344,0.46230507591028,407
Florida,12,0-4,0.104916611909856,0.0467271868053883,0.163106037014324,232
Florida,12,5-17,0.370031646909722,0.314151359535153,0.425911934284291,521
Georgia,13,0-4,0.0602846741557027,0.0304965410676515,0.0900728072437539,380
Georgia,13,5-17,0.384732180294996,0.338393648800366,0.431070711789626,873
Hawaii,15,0-4,0.0429076728310408,0.00754248031285651,0.078272865349225,285
Hawaii,15,5-17,0.305247577795624,0.247072481215405,0.363422674375843,553
Idaho,16,0-4,0.0302739717309134,0.00935184513954055,0.0511960983222863,281
Idaho,16,5-17,0.302111113951674,0.249934474332012,0.354287753571336,521
Illinois,17,0-4,0.0496974800813718,0.0273069461465164,0.0720880140162273,429
Illinois,17,5-17,0.325947363308892,0.287623198501805,0.364271528115979,1063
Indiana,18,0-4,0.0702235794256721,0.0390785806551329,0.101368578196211,277
Indiana,18,5-17,0.337206248900551,0.286492696182535,0.387919801618567,541
Iowa,19,0-4,0.0631906385631582,0.0205536705174445,0.105827606608872,279
Iowa,19,5-17,0.36403725678518,0.312638302516532,0.415436211053828,552
Kansas,20,0-4,0.0719084304809251,0.0492354112372597,0.0945814497245904,752
Kansas,20,5-17,0.354264727170457,0.326843659430779,0.381685794910136,2053
Kentucky,21,0-4,0.0603632275203349,0.0249106575391306,0.0958157975015392,259
Kentucky,21,5-17,0.364023197439625,0.306749864862811,0.421296530016438,482
Louisiana,22,0-4,0.0613587776630335,0.0365217700867916,0.0861957852392755,592
Louisiana,22,5-17,0.387678033648332,0.354819871937977,0.420536195358687,1501
Maine,23,0-4,0.104007430854601,0.0417444843971818,0.16627037731202,283
Maine,23,5-17,0.405385937018614,0.348365670525599,0.462406203511629,520
Maryland,24,0-4,0.0774951858682404,0.0220197361410154,0.132970635595465,303
Maryland,24,5-17,0.356354934236571,0.301765169615083,0.410944698858059,582
Massachusetts,25,0-4,0.0407751249845429,0.0193513776935409,0.0621988722755448,260
Massachusetts,25,5-17,0.293519878109543,0.241052406099726,0.34598735011936,488
Michigan,26,0-4,0.0951310297481482,0.0399008113493842,0.150361248146912,296
Michigan,26,5-17,0.369274139288602,0.31683791338356,0.421710365193644,553
Minnesota,27,0-4,0.0414769127629145,0.0178200159182604,0.0651338096075686,644
Minnesota,27,5-17,0.323081967565279,0.293938032874818,0.352225902255739,1755
Mississippi,28,0-4,0.0579891484390711,0.025788345127739,0.0901899517504032,243
Mississippi,28,5-17,0.449502139920731,0.38995074232253,0.509053537518932,503
Missouri,29,0-4,0.0878178446502991,0.0229608757382614,0.152674813562337,287
Missouri,29,5-17,0.38642102107379,0.330721966306594,0.442120075840986,509
Montana,30,0-4,0.065279528931487,0.017254507868524,0.11330454999445,286
Montana,30,5-17,0.3386721662596,0.280496902821124,0.396847429698076,513
Nebraska,31,0-4,0.0480354528741568,0.00771110865365856,0.088359797094655,336
Nebraska,31,5-17,0.331916198488482,0.289882168822309,0.373950228154655,814
Nevada,32,0-4,0.0212573791151595,0.00239201103845682,0.0401227471918621,229
Nevada,32,5-17,0.346122589772685,0.288575363555393,0.403669815989977,481
New Hampshire,33,0-4,0.0428533132554841,0.0204851329488585,0.0652214935621098,294
New Hampshire,33,5-17,0.303078704793993,0.252886884397815,0.353270525190172,530
New Jersey,34,0-4,0.0725312348512741,0.0284422924193585,0.11662017728319,270
New Jersey,34,5-17,0.353647869906733,0.294335036073341,0.412960703740126,509
New Mexico,35,0-4,0.0567010209195449,0.017013827221874,0.0963882146172157,358
New Mexico,35,5-17,0.36513916803801,0.317335187026586,0.412943149049435,781
New York,36,0-4,0.029981983602063,0.00389262986729055,0.0560713373368355,288
New York,36,5-17,0.330210978924123,0.276587713556589,0.383834244291658,597
North Carolina,37,0-4,0.0339085575082493,0.0111479009346631,0.0566692140818355,265
North Carolina,37,5-17,0.328361362652892,0.270830292794409,0.385892432511375,514
North Dakota,38,0-4,0.0788810136221195,0.0277486257428392,0.1300134015014,274
North Dakota,38,5-17,0.323858335583449,0.270655522994199,0.377061148172698,485
Ohio,39,0-4,0.067597092529459,0.0363733059203995,0.0988208791385185,502
Ohio,39,5-17,0.377116610446107,0.341217551919484,0.413015668972731,1232
Oklahoma,40,0-4,0.0722347873046785,0.0325794294339197,0.111890145175437,285
Oklahoma,40,5-17,0.360984125256435,0.308269352084263,0.413698898428606,534
Oregon,41,0-4,0.0386288718915156,0.0143607462019521,0.0628969975810792,303
Oregon,41,5-17,0.32296016774578,0.266241117586503,0.379679217905056,520
Pennsylvania,42,0-4,0.0676685891093024,0.0288127331561435,0.106524445062461,426
Pennsylvania,42,5-17,0.343395647966724,0.307314946825506,0.379476349107942,1116
Rhode Island,44,0-4,0.106954433111137,0.0476869585510195,0.166221907671255,278
Rhode Island,44,5-17,0.369425695914292,0.307979460111625,0.430871931716959,477
South Carolina,45,0-4,0.0628194323128015,0.0289634113146493,0.0966754533109536,256
South Carolina,45,5-17,0.352210434572428,0.296331738705943,0.408089130438913,512
South Dakota,46,0-4,0.0279701338671472,0.0119597209274693,0.0439805468068252,293
South Dakota,46,5-17,0.292086978350612,0.239344214147619,0.344829742553605,522
Tennessee,47,0-4,0.0595418194115452,0.0196603412868422,0.0994232975362482,335
Tennessee,47,5-17,0.388798271879578,0.339944538482039,0.437652005277118,684
Texas,48,0-4,0.0404821187215782,0.018217337285749,0.0627469001574073,280
Texas,48,5-17,0.376933228065979,0.321124206107635,0.432742250024324,527
Utah,49,0-4,0.0444178743579662,0.0223335056515289,0.0665022430644035,302
Utah,49,5-17,0.313438027964442,0.260171333958795,0.366704721970089,536
Vermont,50,0-4,0.0845597349023819,0.0357378554515946,0.133381614353169,284
Vermont,50,5-17,0.332492901768238,0.280031445399744,0.384954358136731,521
Virginia,51,0-4,0.0536375988673364,0.0077396508144749,0.0995355469201979,295
Virginia,51,5-17,0.28674766926579,0.237968554789611,0.335526783741969,534
Washington,53,0-4,0.0524666613521061,0.0159553323454618,0.0889779903587505,279
Washington,53,5-17,0.308463275148563,0.254753123614712,0.362173426682413,481
West Virginia,54,0-4,0.0852312524843442,0.0437151313775033,0.126747373591185,254
West Virginia,54,5-17,0.436917752335413,0.380779588199448,0.493055916471378,540
Wisconsin,55,0-4,0.053460606013276,0.0259649205887173,0.0809562914378347,415
Wisconsin,55,5-17,0.357259972232287,0.318650628651945,0.395869315812629,1035
Wyoming,56,0-4,0.0452400688719964,0.0198415825444193,0.0706385551995735,400
Wyoming,56,5-17,0.351257793635064,0.310849798874403,0.391665788395725,908
